"Date","Price","Open","High","Low","Change %"
"Jan 28, 2018","8,538.32","8,526.69","8,538.32","8,526.69","0.06%"
"Jan 26, 2018","8,533.12","8,508.64","8,580.46","8,495.37","0.08%"
"Jan 25, 2018","8,526.38","8,649.75","8,652.11","8,492.89","-1.47%"
"Jan 24, 2018","8,653.62","8,594.46","8,677.93","8,569.74","0.73%"
"Jan 23, 2018","8,590.59","8,548.42","8,596.56","8,536.94","0.54%"
"Jan 22, 2018","8,544.67","8,544.04","8,557.48","8,518.21","-0.04%"
"Jan 21, 2018","8,548.22","8,528.73","8,552.38","8,528.62","0.23%"
"Jan 19, 2018","8,528.82","8,522.51","8,573.53","8,512.97","0.11%"
"Jan 18, 2018","8,519.35","8,541.26","8,563.74","8,511.66","-0.17%"
"Jan 17, 2018","8,534.07","8,623.12","8,650.16","8,533.94","-1.06%"
"Jan 16, 2018","8,625.23","8,631.44","8,646.17","8,583.08","-0.02%"
"Jan 15, 2018","8,626.71","8,641.11","8,663.14","8,614.64","0.10%"
"Jan 14, 2018","8,617.96","8,631.61","8,636.69","8,617.96","-0.34%"
"Jan 12, 2018","8,647.36","8,589.89","8,653.83","8,554.44","0.66%"
"Jan 11, 2018","8,590.27","8,568.03","8,603.10","8,562.67","0.23%"
"Jan 10, 2018","8,570.30","8,573.85","8,634.08","8,541.88","-0.03%"
"Jan 09, 2018","8,572.49","8,581.33","8,593.85","8,549.92","-0.11%"
"Jan 08, 2018","8,582.24","8,569.32","8,589.27","8,542.59","0.10%"
"Jan 07, 2018","8,573.48","8,560.70","8,573.48","8,560.57","0.08%"
"Jan 05, 2018","8,566.51","8,589.91","8,595.30","8,523.16","-0.26%"
"Jan 04, 2018","8,588.73","8,540.75","8,611.76","8,492.72","0.57%"
"Jan 03, 2018","8,539.81","8,557.70","8,582.25","8,502.56","-0.18%"
"Jan 02, 2018","8,555.61","8,479.92","8,566.64","8,479.66","0.95%"
"Jan 01, 2018","8,475.20","8,475.20","8,475.20","8,475.20","-0.02%"
"Dec 31, 2017","8,477.14","8,474.16","8,477.14","8,474.16","0.02%"
"Dec 29, 2017","8,475.20","8,456.82","8,508.72","8,422.31","0.17%"
"Dec 28, 2017","8,460.72","8,441.25","8,464.51","8,424.77","0.25%"
"Dec 27, 2017","8,439.56","8,397.97","8,454.10","8,388.22","0.50%"
"Dec 26, 2017","8,397.23","8,340.66","8,404.88","8,329.81","0.69%"
"Dec 25, 2017","8,339.78","8,377.66","8,380.72","8,338.51","-0.64%"
"Dec 24, 2017","8,393.79","8,382.81","8,393.79","8,382.81","0.09%"
"Dec 22, 2017","8,386.16","8,341.90","8,395.17","8,317.33","0.54%"
"Dec 21, 2017","8,340.77","8,326.47","8,358.09","8,309.91","0.19%"
"Dec 20, 2017","8,325.02","8,333.45","8,347.34","8,304.32","-0.10%"
"Dec 19, 2017","8,333.06","8,347.69","8,369.07","8,317.20","-0.18%"
"Dec 18, 2017","8,348.08","8,287.85","8,365.61","8,285.21","0.52%"
"Dec 17, 2017","8,305.19","8,282.99","8,305.19","8,282.99","0.11%"
"Dec 15, 2017","8,296.45","8,277.47","8,338.38","8,276.47","0.18%"
"Dec 14, 2017","8,281.77","8,313.95","8,332.15","8,266.03","-0.33%"
"Dec 13, 2017","8,309.50","8,238.73","8,319.62","8,209.10","0.87%"
"Dec 12, 2017","8,238.20","8,218.76","8,254.32","8,186.31","0.20%"
"Dec 11, 2017","8,221.56","8,260.34","8,285.77","8,210.43","-0.44%"
"Dec 10, 2017","8,258.24","8,262.83","8,267.21","8,258.24","-0.07%"
"Dec 08, 2017","8,264.22","8,248.66","8,289.88","8,236.51","0.12%"
"Dec 07, 2017","8,254.60","8,357.19","8,369.64","8,235.47","-1.23%"
"Dec 06, 2017","8,357.10","8,380.06","8,398.68","8,352.47","-0.27%"
"Dec 05, 2017","8,379.62","8,451.14","8,457.23","8,347.46","-0.81%"
"Dec 04, 2017","8,448.00","8,422.42","8,457.07","8,416.81","0.05%"
"Dec 03, 2017","8,444.15","8,467.56","8,475.24","8,424.89","-0.33%"
"Dec 01, 2017","8,471.96","8,425.83","8,533.54","8,414.49","0.50%"
"Nov 30, 2017","8,430.07","8,490.74","8,502.10","8,401.58","-0.63%"
"Nov 29, 2017","8,483.76","8,545.95","8,556.77","8,474.51","-0.78%"
"Nov 28, 2017","8,550.30","8,541.99","8,574.34","8,515.96","0.13%"
"Nov 27, 2017","8,538.80","8,506.83","8,576.34","8,492.98","0.46%"
"Nov 26, 2017","8,499.42","8,504.38","8,510.71","8,499.42","-0.07%"
"Nov 24, 2017","8,505.12","8,499.98","8,536.45","8,488.00","0.05%"
"Nov 23, 2017","8,500.94","8,544.44","8,545.36","8,479.12","-0.47%"
"Nov 22, 2017","8,541.50","8,487.43","8,560.73","8,473.06","0.61%"
"Nov 21, 2017","8,489.43","8,475.01","8,522.30","8,469.93","0.20%"
"Nov 20, 2017","8,472.33","8,571.83","8,586.10","8,461.19","-1.81%"
"Nov 19, 2017","8,628.86","8,580.68","8,628.86","8,574.82","0.60%"
"Nov 17, 2017","8,577.47","8,475.51","8,595.16","8,472.20","1.18%"
"Nov 16, 2017","8,477.78","8,467.26","8,500.88","8,463.02","0.13%"
"Nov 15, 2017","8,466.45","8,496.91","8,539.25","8,458.38","-0.34%"
"Nov 14, 2017","8,495.07","8,485.33","8,518.95","8,434.98","0.07%"
"Nov 13, 2017","8,488.89","8,468.57","8,500.43","8,462.78","0.29%"
"Nov 12, 2017","8,464.37","8,472.74","8,473.92","8,464.37","-0.13%"
"Nov 10, 2017","8,475.39","8,532.44","8,545.92","8,456.80","-0.67%"
"Nov 09, 2017","8,532.75","8,492.60","8,557.51","8,487.70","0.46%"
"Nov 08, 2017","8,493.58","8,469.48","8,533.80","8,469.48","0.30%"
"Nov 07, 2017","8,468.12","8,501.76","8,504.56","8,446.27","-0.43%"
"Nov 06, 2017","8,504.83","8,430.08","8,513.45","8,407.25","0.80%"
"Nov 05, 2017","8,437.05","8,431.30","8,437.05","8,425.20","0.07%"
"Nov 03, 2017","8,431.17","8,439.35","8,474.97","8,401.84","-0.02%"
"Nov 02, 2017","8,432.92","8,415.99","8,489.83","8,415.99","0.21%"
"Nov 01, 2017","8,415.14","8,430.95","8,471.88","8,404.82","-0.26%"
"Oct 31, 2017","8,436.77","8,481.97","8,492.93","8,412.08","-0.54%"
"Oct 30, 2017","8,482.63","8,472.35","8,502.83","8,436.86","-0.06%"
"Oct 29, 2017","8,487.70","8,473.51","8,487.70","8,467.06","0.21%"
"Oct 27, 2017","8,469.53","8,421.05","8,479.24","8,406.18","0.63%"
"Oct 26, 2017","8,416.87","8,480.89","8,508.78","8,407.51","-0.75%"
"Oct 25, 2017","8,480.79","8,475.16","8,502.60","8,446.01","0.10%"
"Oct 24, 2017","8,472.16","8,513.01","8,526.56","8,449.44","-0.48%"
"Oct 23, 2017","8,512.91","8,457.41","8,523.53","8,435.77","0.41%"
"Oct 22, 2017","8,478.43","8,475.76","8,480.25","8,460.38","-0.01%"
"Oct 20, 2017","8,479.04","8,529.95","8,542.58","8,460.18","-0.62%"
"Oct 19, 2017","8,532.09","8,491.50","8,538.05","8,464.92","0.49%"
"Oct 18, 2017","8,490.89","8,514.46","8,527.51","8,464.89","-0.26%"
"Oct 17, 2017","8,512.82","8,536.13","8,548.14","8,489.31","-0.23%"
"Oct 16, 2017","8,532.11","8,579.30","8,611.63","8,507.53","-0.48%"
"Oct 15, 2017","8,573.29","8,577.40","8,591.53","8,573.29","-0.12%"
"Oct 13, 2017","8,583.55","8,519.12","8,583.55","8,501.84","0.71%"
"Oct 12, 2017","8,523.29","8,516.67","8,552.93","8,500.92","0.12%"
"Oct 11, 2017","8,513.25","8,469.19","8,526.75","8,464.58","0.59%"
"Oct 10, 2017","8,463.01","8,506.76","8,525.44","8,462.61","-0.53%"
"Oct 09, 2017","8,507.84","8,489.87","8,530.74","8,477.48","0.11%"
"Oct 08, 2017","8,498.34","8,493.67","8,498.34","8,485.95","0.10%"
"Oct 06, 2017","8,489.91","8,443.74","8,497.62","8,389.17","0.63%"
"Oct 05, 2017","8,436.84","8,484.15","8,512.49","8,429.18","-0.52%"
"Oct 04, 2017","8,481.06","8,463.02","8,532.49","8,455.43","0.26%"
"Oct 03, 2017","8,458.87","8,459.27","8,485.88","8,440.64","0.02%"
"Oct 02, 2017","8,457.30","8,513.06","8,513.72","8,452.84","-0.54%"
