"Date","Price","Open","High","Low","Change %"
"Aug 08, 2018","6.8357","6.8067","6.8414","6.8002","0.06%"
"Aug 07, 2018","6.8318","6.8510","6.8658","6.8223","-0.32%"
"Aug 06, 2018","6.8535","6.8276","6.8541","6.8010","0.30%"
"Aug 03, 2018","6.8332","6.8584","6.8949","6.8332","-0.14%"
"Aug 02, 2018","6.8428","6.8094","6.8514","6.8093","0.29%"
"Aug 01, 2018","6.8227","6.8294","6.8369","6.7957","0.15%"
"Jul 31, 2018","6.8127","6.8349","6.8450","6.8127","-0.03%"
"Jul 30, 2018","6.8150","6.8208","6.8437","6.8150","0.02%"
"Jul 27, 2018","6.8137","6.8080","6.8409","6.8018","0.31%"
"Jul 26, 2018","6.7927","6.7424","6.7958","6.7423","0.34%"
"Jul 25, 2018","6.7697","6.7951","6.8088","6.7573","-0.32%"
"Jul 24, 2018","6.7915","6.8145","6.8248","6.7914","-0.02%"
"Jul 23, 2018","6.7930","6.7535","6.7965","6.7404","0.33%"
"Jul 20, 2018","6.7709","6.7790","6.8155","6.7699","-0.06%"
"Jul 19, 2018","6.7751","6.7249","6.7881","6.7242","0.83%"
"Jul 18, 2018","6.7196","6.7065","6.7233","6.6986","0.20%"
"Jul 17, 2018","6.7065","6.6931","6.7081","6.6760","0.23%"
"Jul 16, 2018","6.6911","6.6919","6.7087","6.6751","-0.01%"
"Jul 13, 2018","6.6917","6.6578","6.7054","6.6525","0.36%"
"Jul 12, 2018","6.6677","6.7023","6.7063","6.6634","-0.20%"
"Jul 11, 2018","6.6812","6.6734","6.6832","6.6563","0.77%"
"Jul 10, 2018","6.6299","6.5983","6.6353","6.5983","0.21%"
"Jul 09, 2018","6.6161","6.6429","6.6444","6.6135","-0.41%"
"Jul 06, 2018","6.6436","6.6380","6.6685","6.6380","0.10%"
"Jul 05, 2018","6.6371","6.6299","6.6478","6.6299","0.07%"
"Jul 04, 2018","6.6325","6.6403","6.6403","6.6040","-0.15%"
"Jul 03, 2018","6.6425","6.7089","6.7225","6.6410","-0.38%"
"Jul 02, 2018","6.6680","6.6317","6.6681","6.6311","0.71%"
"Jun 29, 2018","6.6210","6.6305","6.6429","6.6085","-0.09%"
"Jun 28, 2018","6.6270","6.6181","6.6335","6.6090","0.34%"
"Jun 27, 2018","6.6047","6.5858","6.6200","6.5858","0.39%"
"Jun 26, 2018","6.5793","6.5373","6.5818","6.5369","0.60%"
"Jun 25, 2018","6.5400","6.5039","6.5474","6.5039","0.53%"
"Jun 22, 2018","6.5058","6.4947","6.5098","6.4947","0.19%"
"Jun 21, 2018","6.4932","6.4820","6.5094","6.4820","0.30%"
"Jun 20, 2018","6.4737","6.4654","6.4812","6.4654","-0.18%"
"Jun 19, 2018","6.4852","6.4428","6.4853","6.4428","0.71%"
"Jun 18, 2018","6.4394","6.4394","6.4394","6.4394","0.00%"
"Jun 15, 2018","6.4394","6.4195","6.4394","6.4131","0.59%"
"Jun 14, 2018","6.4017","6.3986","6.4048","6.3929","0.05%"
"Jun 13, 2018","6.3983","6.4134","6.4140","6.3968","-0.07%"
"Jun 12, 2018","6.4028","6.4111","6.4123","6.4023","0.02%"
"Jun 11, 2018","6.4017","6.4067","6.4101","6.4013","-0.08%"
"Jun 08, 2018","6.4066","6.4005","6.4149","6.4005","0.23%"
"Jun 07, 2018","6.3921","6.3899","6.3987","6.3898","0.06%"
"Jun 06, 2018","6.3884","6.4072","6.4072","6.3862","-0.28%"
"Jun 05, 2018","6.4061","6.4065","6.4145","6.4001","-0.06%"
"Jun 04, 2018","6.4100","6.4230","6.4279","6.4062","-0.16%"
"Jun 01, 2018","6.4204","6.4098","6.4217","6.4095","0.16%"
"May 31, 2018","6.4103","6.4174","6.4175","6.3995","-0.14%"
"May 30, 2018","6.4190","6.4207","6.4345","6.4161","0.02%"
"May 29, 2018","6.4176","6.4088","6.4230","6.4047","0.29%"
"May 28, 2018","6.3993","6.3892","6.4006","6.3887","0.12%"
"May 25, 2018","6.3918","6.3883","6.3929","6.3849","0.21%"
"May 24, 2018","6.3783","6.3896","6.3972","6.3773","-0.16%"
"May 23, 2018","6.3885","6.3695","6.3913","6.3695","0.33%"
"May 22, 2018","6.3675","6.3750","6.3793","6.3657","-0.25%"
"May 21, 2018","6.3835","6.3797","6.3947","6.3775","0.05%"
"May 18, 2018","6.3800","6.3730","6.3817","6.3691","0.20%"
"May 17, 2018","6.3671","6.3723","6.3723","6.3574","-0.07%"
"May 16, 2018","6.3715","6.3766","6.3804","6.3647","-0.10%"
"May 15, 2018","6.3777","6.3422","6.3804","6.3422","0.61%"
"May 14, 2018","6.3392","6.3338","6.3438","6.3338","0.08%"
"May 11, 2018","6.3341","6.3376","6.3491","6.3255","-0.24%"
"May 10, 2018","6.3492","6.3730","6.3742","6.3448","-0.21%"
